Nama Sekarang,Nama Asli,Kegiatan,Deskripsi,cttn utk upload
2023_03_Susenas_KP,Susenas 202303 KP,Susenas,,
2023_03_Susenas_Kor_Rev,Susenas 202303 kor rev20231227,Susenas,,
2022_09_Susenas_MKP,Susenas 202209 MKP,Susenas,,
2022_09_Susenas_KP,Susenas 202209 KP,Susenas,,
2022_03_Susenas_KP,Susenas 202203 kp rev20230103,Susenas,,
2022_03_Susenas_Kor_Rev,Susenas 202203 Kor rev 20221230,Susenas,,
2021_09_Susenas_Kp,Susenas 202109 Sept KP,Susenas,,
2021_03_Susenas_Kor_Kp,Susenas 202103 Kor KP,Susenas,,
2020_09_Susenas,Susenas 202009,Susenas,,
2020_03_Susenas_Kor_Kp,Susenas 202003 Kor KP,Susenas,,
2019_03_Susenas_Kor,Susenas 201903 Kor,Susenas,,
2018_03_Susenas_Kor,Susenas 201803 Kor,Susenas,,
2017_03_Susenas_Kor,Susenas 201703 Kor,Susenas,,
2016_03_Susenas_Kor,Susenas 201603 Kor,Susenas,,
2015_03_Susenas_Kor,Susenas 201503 Kor,Susenas,,
2026_02_Sakernas_10,14_sak202602_layanan_10+,Sakernas,,
2025_02_Sakernas_15_Rev,2025\02 Februari revisi\14_sak202502_15_rev,Sakernas,,
2025_02_Sakernas_10,2025\02 Februari revisi,Sakernas,,ini langsung file
2025_08_Sakernas_10,2025\08 Agustus\14_sak202508_10,Sakernas,,
2025_08_Sakernas_15,2025\08 Agustus\14_sak202508_15,Sakernas,,
2025_11_Sakernas_15,2025\11 November\14_sak 15+_202511,Sakernas,,
2025_11_Sakernas_10,2025\11 November\14_sak202511_layanan_10+_rev.sav,Sakernas,,"ada folder macosx yg isinya file bernama ""._14_sak 15+_202511"""
2024_02_Sakernas_15,2024\02,Sakernas,,
2024_08_Sakernas_10,2024\08\Internal,Sakernas,,
2024_08_Sakernas_15,2024\08\Pengguna Umum\Pengguna Umum,Sakernas,,
2023_02_Sakernas_10,2023\02,,,
2023_08_Sakernas_10,2023\08\sak202308 10+ layanan_14,,,
2023_08_Sakernas_15,2023\08\sak202308 15+ diseminasi_14,,,
2022_02_Sakernas_10,2022\02,,,Ini dalam folder 02 ada 2 layanan sekaligus
2022_02_Sakernas_15,2022\02,,,
